Police_Stn,Type,Latitude,Longitude,Time,Year,Month,Date
Wellawatta,House Braking,6.8665,79.8598,1500,2017,3,8
Armour_Street,Robbery,6.941,79.8594,1400,2017,3,9
Borella,House Braking,6.9195,79.8692,1750,2017,3,9
Maligawatta,Assult,6.9395,79.8712,2000,2017,3,9
Armour_Street,House Braking,6.9375,79.8582,800,2017,3,10
Dematagoda,House Braking,6.9286,79.8681,550,2017,3,10
Modara,Theft,6.9757,79.8748,1600,2017,3,11
Borella,Theft,6.9194,79.8749,2015,2017,3,13
Dematagoda,House Braking,6.929,79.8809,1130,2017,3,13
Kotahena,Robbery,6.9445,79.8607,1545,2017,3,14
Narahenpita,House Braking,6.8986,79.8661,1330,2017,3,14
Wellawatta,Theft,6.878,79.858,1800,2017,3,14
Bambalapitiya,Murder,6.8929,79.857,2000,2017,3,15
Bambalapitiya,Drugs,6.893,79.8582,1430,2017,3,15
Grand Pass,House Braking,6.9449,79.8775,1130,2017,3,15
Grand Pass,Theft,6.9478,79.8773,2035,2017,3,15
Kirullapone,House Braking,6.8732,79.8868,1550,2017,3,15
Maradana,Theft,6.9329,79.8667,2215,2017,3,15
Pettha,Robbery,6.9345,79.8505,1730,2017,3,15
Pettha,Murder,6.9373,79.8537,1200,2017,3,15
Slave Island,House Braking,6.9231,79.8539,1430,2017,3,15
Borella,House Braking,6.9156,79.8869,730,2017,3,16
Borella,House Braking,6.9215,79.8854,930,2017,3,16
Kollupitiya,Theft,6.8985,79.8532,1600,2017,3,16
Kotahena,House Braking,6.9556,79.8656,1800,2017,3,16
Narahenpita,House Braking,6.8934,79.8729,1630,2017,3,16
Bambalapitiya,House Braking,6.8807,79.857,1300,2017,3,17
Kirullapone,House Braking,6.8723,79.8824,1600,2017,3,17
Kotahena,Assult,6.9528,79.8624,1850,2017,3,17
Narahenpita,House Braking,6.896,79.8659,1545,2017,3,17
Borella,Robbery,6.9184,79.872,1945,2017,3,18
Kotahena,Theft,6.9434,79.8629,1400,2017,3,18
Kurunduwaththa,Robbery,6.9081,79.8595,1425,2017,3,18
Borella,Robbery,6.9033,79.8784,2000,2017,3,19
Wellawatta,Theft,6.8683,79.862,2250,2017,3,19
Kotahena,Theft,6.9435,79.8576,1430,2017,3,20
Narahenpita,Robbery,6.8918,79.8796,1415,2017,3,20
Wellawatta,Drugs,6.8816,79.8652,1515,2017,3,20
Dematagoda,Robbery,6.9314,79.8728,1015,2017,3,21
Maligawatta,Robbery,6.9358,79.8737,1310,2017,3,21
Modara,House Braking,6.9644,79.8772,1730,2017,3,21
Pettha,Murder,6.9394,79.8531,2000,2017,3,21
Dematagoda,House Braking,6.9317,79.8816,430,2017,3,22
Grand Pass,Robbery,6.9485,79.8701,1415,2017,3,22
Grand Pass,Theft,6.9557,79.877,1620,2017,3,22
Grand Pass,Assult,6.9572,79.8686,1850,2017,3,22
Kotahena,House Braking,6.9528,79.861,1930,2017,3,22
Armour_Street,Robbery,6.9397,79.8601,1930,2017,3,23
Borella,Theft,6.9203,79.8756,2200,2017,3,23
Grand Pass,Theft,6.9551,79.8725,1310,2017,3,23
Kollupitiya,House Braking,6.9,79.8586,1130,2017,3,23
Armour_Street,Theft,6.9361,79.8648,1745,2017,3,24
Maligawatta,Murder,6.9429,79.8741,2245,2017,3,24
Maradana,Drugs,6.9218,79.8766,1500,2017,3,24
Modara,House Braking,6.9688,79.8718,1615,2017,3,24
Bambalapitiya,Robbery,6.8842,79.8592,2000,2017,3,25
Dematagoda,Rape,6.932,79.8738,2100,2017,3,25
Maligawatta,Drugs,6.9388,79.8719,1345,2017,3,25
Grand Pass,Assult,6.9532,79.8741,2200,2017,3,26
Kotahena,Theft,6.9473,79.8588,2115,2017,3,27
Maradana,Robbery,6.918,79.8684,1610,2017,3,27
Pettha,Murder,6.9366,79.8492,2030,2017,3,27
Grand Pass,Robbery,6.944,79.8744,1300,2017,3,28
Kollupitiya,Drugs,6.9044,79.8508,1445,2017,3,28
Slave Island,House Braking,6.9194,79.852,1230,2017,3,28
Kotahena,Theft,6.9538,79.8649,2350,2017,3,29
Armour_Street,Drugs,6.9366,79.8571,1400,2017,3,30
Dematagoda,Assult,6.9274,79.8812,1800,2017,3,30
Kirullapone,Theft,6.8713,79.8783,1615,2017,3,30
Slave Island,Assult,6.9193,79.8585,2010,2017,3,30
Grand Pass,Murder,6.9586,79.8706,2200,2017,3,31
Dematagoda,Murder,6.9303,79.8813,1400,2017,4,1
Modara,Theft,6.9648,79.8712,1800,2017,4,1
Bambalapitiya,Theft,6.8922,79.8545,1815,2017,4,2
Kirullapone,Robbery,6.8755,79.8761,2115,2017,4,2
Wellawatta,Robbery,6.884,79.8702,1630,2017,4,2
Dematagoda,Theft,6.9318,79.8789,1630,2017,4,3
Maradana,Assult,6.9313,79.8597,2010,2017,4,3
Slave Island,Theft,6.9302,79.8485,1945,2017,4,3
Bambalapitiya,Theft,6.8957,79.8575,2135,2017,4,4
Narahenpita,Drugs,6.8895,79.8676,1430,2017,4,4
Bambalapitiya,Robbery,6.8939,79.8541,1800,2017,4,6
Borella,House Braking,6.915,79.8827,1150,2017,4,6
Dematagoda,Theft,6.925,79.88,1830,2017,4,6
Kirullapone,Robbery,6.8811,79.8789,1645,2017,4,6
Maligawatta,Drugs,6.9415,79.8715,1350,2017,4,6
Wellawatta,House Braking,6.8674,79.8635,900,2017,4,6
Slave Island,Robbery,6.9216,79.8542,1530,2017,4,7
Grand Pass,Drugs,6.9592,79.8713,1300,2017,4,8
Borella,Rape,6.9205,79.883,2015,2017,4,10
Maradana,Theft,6.9263,79.8626,2210,2017,4,10
Borella,Theft,6.9124,79.8786,1810,2017,4,11
Dematagoda,Robbery,6.9324,79.8759,1800,2017,4,11
Kollupitiya,Theft,6.9144,79.8547,1850,2017,4,11
Wellawatta,Robbery,6.8776,79.8703,1800,2017,4,11
Grand Pass,Theft,6.9454,79.8714,2010,2017,4,12
Maligawatta,Murder,6.9379,79.8698,1950,2017,4,12
Pettha,Theft,6.9352,79.8544,1900,2017,4,12
Pettha,Theft,6.9367,79.8525,1950,2017,4,12
Narahenpita,House Braking,6.891,79.8834,930,2017,4,13
Pettha,Robbery,6.9389,79.8529,1650,2017,4,13
Pettha,Theft,6.9362,79.8543,1850,2017,4,13
Pettha,Theft,6.935,79.8555,1920,2017,4,13
Pettha,Theft,6.936,79.8503,1800,2017,4,13
Pettha,Theft,6.9386,79.8522,1945,2017,4,13
Maligawatta,Assult,6.9363,79.8675,2150,2017,4,14
Modara,Theft,6.9691,79.8698,2315,2017,4,14
Armour_Street,Robbery,6.9375,79.8556,1545,2017,4,15
Dematagoda,Robbery,6.9297,79.8728,1530,2017,4,15
Kotahena,Robbery,6.9513,79.8666,1630,2017,4,15
Wellawatta,Theft,6.8791,79.8704,1915,2017,4,15
Kotahena,Robbery,6.9565,79.8631,1830,2017,4,16
Kotahena,Assult,6.9448,79.8621,1945,2017,4,16
